add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_nodes,contains_bug
30,53,1.7667,1.7667,11,106,3,2,1,15,TRUE
11,16,1.4545,1.4545,9,32,2,2,1,6,TRUE
11,14,1.2727,1.2727,5,28,2,2,1,11,TRUE
30,53,1.7667,1.7667,14,106,3,3,1,18,TRUE
13,16,1.2308,1.2308,6,32,2,2,1,11,TRUE
26,41,1.5769,1.5769,9,82,3,2,1,17,TRUE
34,66,1.9412,1.9412,15,132,4,3,1,15,TRUE
27,45,1.6667,1.6667,9,90,3,3,1,15,TRUE
13,18,1.3846,1.3846,7,36,2,2,1,13,TRUE
20,29,1.45,1.45,9,58,2,2,1,3,TRUE
20,27,1.35,1.35,8,54,2,2,1,13,TRUE
9,11,1.2222,1.2222,6,22,2,2,1,0,TRUE
28,57,2.0357,2.0357,16,114,4,3,1,31,TRUE
32,69,2.1562,2.1562,15,138,4,3,1,31,TRUE
30,52,1.7333,1.7333,12,104,3,3,1,29,TRUE
11,17,1.5455,1.5455,9,34,3,2,1,10,TRUE
19,28,1.4737,1.4737,8,56,2,2,1,0,TRUE
21,31,1.4762,1.4762,8,62,2,2,1,10,TRUE
15,18,1.2,1.2,7,36,2,2,1,10,TRUE
25,37,1.48,1.48,9,74,2,2,1,20,TRUE
8,11,1.375,1.375,6,22,2,2,1,8,TRUE
28,48,1.7143,1.7143,14,96,3,2,1,28,TRUE
33,61,1.8485,1.8485,12,122,3,3,1,26,TRUE
21,29,1.381,1.381,8,58,2,2,0,15,TRUE
6,6,1,1,4,12,2,1,1,6,TRUE
33,66,2,2,15,132,4,3,1,24,TRUE
44,106,2.4091,2.4091,22,212,4,3,1,46,TRUE
31,53,1.7097,1.7097,13,106,3,2,1,40,TRUE
6,6,1,1,5,12,2,1,0,6,TRUE
7,9,1.2857,1.2857,4,18,2,2,1,7,TRUE
22,33,1.5,1.5,11,66,3,2,1,15,TRUE
13,19,1.4615,1.4615,9,38,2,2,1,12,TRUE
25,49,1.96,1.96,13,98,3,3,1,18,TRUE
20,31,1.55,1.55,10,62,3,2,1,19,TRUE
18,25,1.3889,1.3889,8,50,2,2,1,18,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
22,33,1.5,1.5,9,66,3,2,1,22,TRUE
19,27,1.4211,1.4211,8,54,2,2,1,28,TRUE
12,16,1.3333,1.3333,6,32,2,2,1,0,TRUE
13,23,1.7692,1.7692,10,46,3,3,1,27,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
7,6,0.8571,0.8571,4,12,2,1,1,4,TRUE
8,11,1.375,1.375,6,22,2,2,1,8,TRUE
23,35,1.5217,1.5217,9,70,3,2,1,9,TRUE
11,16,1.4545,1.4545,7,32,2,2,1,9,TRUE
21,33,1.5714,1.5714,10,66,3,2,1,19,TRUE
9,11,1.2222,1.2222,6,22,2,2,1,16,TRUE
44,92,2.0909,2.0909,18,184,4,3,1,46,TRUE
19,31,1.6316,1.6316,9,62,3,3,1,19,TRUE
21,35,1.6667,1.6667,9,70,3,3,1,0,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
29,53,1.8276,1.8276,11,106,3,3,1,27,TRUE
37,68,1.8378,1.8378,12,136,3,3,1,33,TRUE
7,9,1.2857,1.2857,4,18,2,2,1,7,TRUE
21,32,1.5238,1.5238,9,64,3,2,1,23,TRUE
18,27,1.5,1.5,9,54,3,2,1,0,TRUE
8,8,1,1,4,16,2,2,0,8,TRUE
4,3,0.75,0.75,3,6,1,1,0,0,TRUE
21,29,1.381,1.381,8,58,2,2,1,24,TRUE
37,82,2.2162,2.2162,15,164,4,3,1,37,TRUE
24,45,1.875,1.875,12,90,3,3,1,24,TRUE
25,42,1.68,1.68,11,84,3,2,1,23,TRUE
15,20,1.3333,1.3333,8,40,2,2,1,9,TRUE
14,20,1.4286,1.4286,7,40,2,2,1,14,TRUE
13,15,1.1538,1.1538,7,30,2,2,0,12,TRUE
25,41,1.64,1.64,9,82,3,3,1,0,TRUE
12,16,1.3333,1.3333,9,32,2,2,1,8,TRUE
10,10,1,1,5,20,2,2,0,13,TRUE
29,49,1.6897,1.6897,10,98,3,3,1,28,TRUE
16,22,1.375,1.375,7,44,2,2,1,16,TRUE
13,16,1.2308,1.2308,6,32,2,2,1,13,TRUE
19,29,1.5263,1.5263,8,58,3,3,1,7,TRUE
23,32,1.3913,1.3913,9,64,2,2,1,0,TRUE
21,39,1.8571,1.8571,14,78,3,2,2,22,TRUE
25,42,1.68,1.68,11,84,3,2,1,20,TRUE
14,18,1.2857,1.2857,10,36,2,2,0,15,TRUE
27,47,1.7407,1.7407,11,94,3,3,1,28,TRUE
31,60,1.9355,1.9355,13,120,3,3,1,17,TRUE
18,28,1.5556,1.5556,8,56,3,2,1,19,TRUE
6,6,1,1,4,12,2,1,1,0,TRUE
8,11,1.375,1.375,6,22,2,2,1,0,TRUE
33,59,1.7879,1.7879,15,118,3,2,1,33,TRUE
17,28,1.6471,1.6471,9,56,3,3,1,9,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
8,8,1,1,4,16,2,2,0,8,TRUE
11,13,1.1818,1.1818,5,26,2,2,1,11,TRUE
29,46,1.5862,1.5862,10,92,3,2,1,0,TRUE
9,11,1.2222,1.2222,6,22,2,2,1,7,TRUE
21,33,1.5714,1.5714,9,66,3,2,1,21,TRUE
21,39,1.8571,1.8571,12,78,3,3,1,12,TRUE
10,11,1.1,1.1,5,22,2,2,1,10,TRUE
24,39,1.625,1.625,11,78,3,2,1,0,TRUE
24,37,1.5417,1.5417,9,74,3,2,1,24,TRUE
32,61,1.9062,1.9062,16,122,3,3,1,32,TRUE
29,55,1.8966,1.8966,13,110,3,3,2,21,TRUE
13,17,1.3077,1.3077,7,34,2,2,1,5,TRUE
8,9,1.125,1.125,4,18,2,2,1,13,TRUE
19,28,1.4737,1.4737,10,56,2,2,1,12,TRUE
33,59,1.7879,1.7879,17,118,3,3,1,31,TRUE
8,9,1.125,1.125,4,18,2,2,1,0,TRUE
9,13,1.4444,1.4444,7,26,2,2,1,9,TRUE
15,20,1.3333,1.3333,7,40,2,2,1,13,TRUE
12,18,1.5,1.5,10,36,3,2,1,7,TRUE
22,29,1.3182,1.3182,10,58,2,2,1,15,TRUE
14,21,1.5,1.5,7,42,3,3,1,13,TRUE
3,3,1,1,4,6,2,1,1,3,TRUE
20,31,1.55,1.55,8,62,3,2,1,20,TRUE
27,48,1.7778,1.7778,12,96,3,3,1,25,TRUE
23,37,1.6087,1.6087,9,74,3,2,1,26,TRUE
19,26,1.3684,1.3684,9,52,2,2,1,22,TRUE
29,56,1.931,1.931,11,112,3,3,1,27,TRUE
34,65,1.9118,1.9118,14,130,3,3,1,27,TRUE
