entropy,add_num_nodes,add_num_edges,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_max_degree,contains_bug
0.326258815,11,18,1.6364,10,36,3,8,11,7,TRUE
0,17,28,1.6471,10,56,3,17,28,10,TRUE
1.841921734,15,22,1.4667,8,44,2,15,21,8,TRUE
5.189872914,36,101,2.8056,25,202,5,41,110,27,TRUE
3.013365564,27,57,2.1111,14,114,4,30,62,14,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
1.053582581,16,25,1.5625,11,50,3,14,21,7,TRUE
2.004721701,31,58,1.871,17,116,3,18,27,10,TRUE
3.819801906,8,8,1,4,16,2,8,8,4,TRUE
3.090045028,20,33,1.65,12,66,3,16,25,9,TRUE
0,11,15,1.3636,7,30,2,11,15,7,TRUE
0.881290899,0,0,0,0,0,0,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
1.639063038,0,0,0,0,0,0,0,0,0,TRUE
4.004225395,12,17,1.4167,7,34,2,12,17,7,TRUE
3.973322392,8,10,1.25,5,20,2,8,10,5,TRUE
1.250711432,32,57,1.7812,15,114,3,13,19,9,TRUE
1.336511215,15,21,1.4,7,42,2,4,3,3,TRUE
4.057065299,27,51,1.8889,14,102,3,13,20,9,TRUE
1.96942133,36,72,2,15,144,4,30,52,14,TRUE
1.96942133,36,72,2,15,144,4,30,52,14,TRUE
1.164038761,25,43,1.72,12,86,3,20,37,13,TRUE
0.863120569,8,11,1.375,6,22,2,7,10,5,TRUE
1.221192235,25,41,1.64,11,82,3,24,39,11,TRUE
2.861498634,22,50,2.2727,14,100,4,22,50,14,TRUE
2.851120718,22,50,2.2727,14,100,4,22,50,14,TRUE
1.519073714,22,36,1.6364,12,72,3,13,17,7,TRUE
4.852255365,17,27,1.5882,10,54,3,17,29,10,TRUE
1.259788432,29,47,1.6207,13,94,3,12,19,10,TRUE
1.960340271,36,72,2,14,144,4,33,60,13,TRUE
1.41990318,15,22,1.4667,7,44,2,22,39,10,TRUE
1.561278124,11,14,1.2727,5,28,2,11,14,5,TRUE
1,0,0,0,0,0,0,0,0,0,TRUE
1,0,0,0,0,0,0,0,0,0,TRUE
1.432513473,32,60,1.875,12,120,3,29,55,10,TRUE
1.043422253,29,53,1.8276,11,106,3,31,57,11,TRUE
1.043422253,29,53,1.8276,11,106,3,31,57,11,TRUE
1.644001133,21,32,1.5238,9,64,3,23,34,10,TRUE
1.644001133,21,32,1.5238,9,64,3,23,34,10,TRUE
0,30,54,1.8,12,108,3,20,32,9,TRUE
