add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_sum_degree,entropy,la,contains_bug
28,53,1.8929,1.8929,15,106,3.93,106,0.371232,20,TRUE
26,46,1.7692,1.7692,16,92,3.68,86,2.16687,69,TRUE
42,94,2.2381,2.2381,22,188,4.59,148,2.54319,219,TRUE
39,83,2.1282,2.1282,19,166,4.37,154,1.87863,92,TRUE
41,86,2.0976,2.0976,17,172,4.41,140,1.88506,82,TRUE
31,53,1.7097,1.7097,16,106,3.53,94,2.26612,35,TRUE
37,82,2.2162,2.2162,21,164,4.56,124,1.54583,49,TRUE
42,102,2.4286,2.4286,22,204,5.1,188,1.7678,121,TRUE
25,53,2.12,2.12,16,106,4.42,118,1.66646,53,TRUE
13,22,1.6923,1.6923,10,44,3.67,42,1.91279,101,TRUE
38,78,2.0526,2.0526,18,156,4.22,94,1.38616,397,TRUE
19,32,1.6842,1.6842,13,64,3.56,80,1.00191,122,TRUE
42,88,2.0952,2.0952,19,176,4.4,140,1.20246,479,TRUE
31,65,2.0968,2.0968,16,130,4.48,128,1.94128,46,TRUE
25,50,2,2,16,100,4.17,94,1.65084,27,TRUE
11,18,1.6364,1.6364,8,36,3.6,36,2.68537,94,TRUE
34,66,1.9412,1.9412,16,132,4,130,2.34906,243,TRUE
32,63,1.9688,1.9688,16,126,4.06,110,1.74717,27,TRUE
43,95,2.2093,2.2093,18,190,4.63,150,1.41906,383,TRUE
35,80,2.2857,2.2857,18,160,4.71,168,2.07052,35,TRUE
13,21,1.6154,1.6154,9,42,3.5,42,0.612196,55,TRUE
32,69,2.1562,2.1562,20,138,4.45,128,1.46081,168,TRUE
24,42,1.75,1.75,12,84,3.65,76,1.51749,34,TRUE
40,92,2.3,2.3,19,184,4.72,172,1.51567,141,TRUE
36,74,2.0556,2.0556,17,148,4.23,132,0.446481,64,TRUE
44,100,2.2727,2.2727,22,200,4.65,104,2.21743,265,TRUE
36,71,1.9722,1.9722,19,142,4.06,106,1.97327,49,TRUE
28,56,2,2,16,112,4.15,46,1.8367,82,TRUE
20,37,1.85,1.85,15,74,3.89,74,0,18,TRUE
44,104,2.3636,2.3636,25,208,4.95,212,0.920729,432,TRUE
34,76,2.2353,2.2353,20,152,4.75,102,1.78663,46,TRUE
30,61,2.0333,2.0333,18,122,4.21,116,1.76274,28,TRUE
47,116,2.4681,2.4681,26,232,5.16,234,2.01794,73,TRUE
25,45,1.8,1.8,16,90,3.75,86,1.82297,255,TRUE
24,46,1.9167,1.9167,16,92,4,80,2.2051,180,TRUE
35,84,2.4,2.4,19,168,4.94,146,2.3884,236,TRUE
44,109,2.4773,2.4773,25,218,5.07,134,2.80525,365,TRUE
38,86,2.2632,2.2632,21,172,4.65,130,2.35067,143,TRUE
26,41,1.5769,1.5769,17,82,3.28,82,1.5,3,TRUE
17,28,1.6471,1.6471,13,56,3.73,40,5.45838,704,TRUE
27,46,1.7037,1.7037,11,92,3.54,86,0.675191,60,TRUE
45,116,2.5778,2.5778,28,232,5.27,200,0.933434,119,TRUE
21,34,1.619,1.619,12,68,3.58,68,0.77935,9,TRUE
29,60,2.069,2.069,16,120,4.29,126,1.64625,46,TRUE
11,15,1.3636,1.3636,7,30,3,30,0,5,TRUE
22,34,1.5455,1.5455,14,68,3.24,68,0,1,TRUE
21,32,1.5238,1.5238,14,64,3.2,46,0,6,TRUE
35,74,2.1143,2.1143,16,148,4.35,138,1.00401,73,TRUE
20,30,1.5,1.5,10,60,3.16,60,1.63891,81,TRUE
28,62,2.2143,2.2143,15,124,4.59,122,2.31133,84,TRUE
33,68,2.0606,2.0606,17,136,4.25,90,0.934068,19,TRUE
30,60,2,2,18,120,4.14,102,0.94566,19,TRUE
32,63,1.9688,1.9688,18,126,4.06,132,2.3089,102,TRUE
37,80,2.1622,2.1622,19,160,4.44,152,1.57983,53,TRUE
28,47,1.6786,1.6786,13,94,3.48,94,0.297472,15,TRUE
39,83,2.1282,2.1282,21,166,4.37,148,2.44959,125,TRUE
36,87,2.4167,2.4167,19,174,4.97,174,1.20825,41,TRUE
25,51,2.04,2.04,17,102,4.25,74,1.19527,29,TRUE
23,38,1.6522,1.6522,14,76,3.45,44,0.926212,34,TRUE
6,7,1.1667,1.1667,5,14,2.8,14,1.64883,25,TRUE
31,62,2,2,15,124,4.13,120,0.863121,34,TRUE
45,119,2.6444,2.6444,26,238,5.53,234,1.55134,100,TRUE
38,71,1.8684,1.8684,19,142,3.94,140,0.548713,49,TRUE
12,19,1.5833,1.5833,9,38,3.45,38,2.30695,146,TRUE
25,45,1.8,1.8,15,90,3.75,68,0.996316,25,TRUE
26,52,2,2,14,104,4.16,98,0,15,TRUE
24,43,1.7917,1.7917,14,86,3.74,86,2.07383,58,TRUE
28,49,1.75,1.75,16,98,3.63,138,0.265347,9,TRUE
26,40,1.5385,1.5385,14,80,3.2,78,1.14007,11,TRUE
42,97,2.3095,2.3095,18,194,4.73,170,1.36953,89,TRUE
41,92,2.2439,2.2439,24,184,4.72,190,1.48026,148,TRUE
23,37,1.6087,1.6087,13,74,3.52,76,0,16,TRUE
38,76,2,2,16,152,4.11,146,0.999854,48,TRUE
34,74,2.1765,2.1765,19,148,4.48,144,0.450251,84,TRUE
41,99,2.4146,2.4146,21,198,4.95,188,0.795277,421,TRUE
6,7,1.1667,1.1667,5,14,2.8,14,1.44667,25,TRUE
23,31,1.3478,1.3478,12,62,2.95,24,0,24,TRUE
12,18,1.5,1.5,9,36,3.27,34,0,1,TRUE
20,33,1.65,1.65,14,66,3.47,66,1.91765,84,TRUE
23,39,1.6957,1.6957,14,78,3.55,76,0.591673,7,TRUE
30,53,1.7667,1.7667,18,106,3.66,94,1.79618,12,TRUE
20,30,1.5,1.5,12,60,3.33,60,0,18,TRUE
27,46,1.7037,1.7037,15,92,3.54,92,1.5,4,TRUE
14,20,1.4286,1.4286,12,40,3.33,40,1.20944,73,TRUE
25,48,1.92,1.92,16,96,4,80,0,32,TRUE
26,53,2.0385,2.0385,15,106,4.24,102,1.83393,6,TRUE
18,29,1.6111,1.6111,13,58,3.41,54,0,16,TRUE
26,51,1.9615,1.9615,16,102,4.08,102,1.11446,111,TRUE
28,54,1.9286,1.9286,16,108,4,88,1.43903,38,TRUE
15,24,1.6,1.6,12,48,3.43,46,1,5,TRUE
28,53,1.8929,1.8929,18,106,3.93,108,1.15955,9,TRUE
17,30,1.7647,1.7647,13,60,3.75,62,0.532835,22,TRUE
46,95,2.0652,2.0652,19,190,4.32,190,0.809157,487,TRUE
28,52,1.8571,1.8571,15,104,3.85,100,2.09945,14,TRUE
29,59,2.0345,2.0345,15,118,4.21,118,0.99403,14,TRUE
13,20,1.5385,1.5385,11,40,3.33,76,0,0,FALSE
12,18,1.5,1.5,9,36,3.27,36,0,84,FALSE
27,47,1.7407,1.7407,15,94,3.62,92,0,3,FALSE
13,20,1.5385,1.5385,11,40,3.33,38,0.991076,6,FALSE
33,62,1.8788,1.8788,12,124,3.88,116,0,11,FALSE
17,22,1.2941,1.2941,8,44,2.75,44,0,1,FALSE
51,133,2.6078,2.6078,29,266,5.32,146,0,0,FALSE
24,39,1.625,1.625,11,78,3.39,58,0,0,FALSE
38,79,2.0789,2.0789,17,158,4.27,90,0.342464,89,FALSE
31,60,1.9355,1.9355,14,120,4,112,0.918296,12,FALSE
14,22,1.5714,1.5714,10,44,3.38,44,0,0,FALSE
36,70,1.9444,1.9444,16,140,4.12,130,0,0,FALSE
19,27,1.4211,1.4211,12,54,3,54,0,4,FALSE
