0,1,2,3,4,5,6
1.0,1.0,1.0,1.0,4.0,19.0,0.0
1.0,1.0,64.0,27.0,2.0,3.0,1.0
1.0,1.0,3.0,3.0,18.0,35.0,0.0
1.0,1.0,2.0,2.0,5.0,6.0,1.0
1.0,1.0,0.0,87.0,5.0,4.0,0.0
1.0,8.0,14.0,14.0,11.0,202.0,0.0
2.0,2.0,3.0,1.0,19.0,338.0,0.0
4.4598004237693205,8.919600847538641,42.43720593277048,58.81397033614759,18.45980042376932,425.3568067803091,1.0
6.0,10.0,171.0,165.0,18.0,187.0,1.0
1.0,1.0,63.0,102.0,15.0,159.0,1.0
2.421572872431221,5.21078643621561,152.63235930864684,86.46809162136438,16.78921356378439,209.04651874893315,1.0
6.939814286699984,9.265046428325004,447.5428178687248,196.8784821243753,8.97569642487506,34.603003582024826,1.0
2.0,2.0,6.0,0.0,20.0,17.0,0.0
1.0,1.0,1.0,1.0,5.0,20.0,0.0
1.0,2.0,16.0,0.0,2.0,8.0,1.0
1.0,1.0,28.0,21.0,13.0,142.0,1.0
1.383699514074276,2.0,17.767399028148553,3.848901457777172,8.697802915554345,17.383699514074276,1.0
3.0,3.0,10.0,5.0,19.0,148.0,0.0
5.0,26.0,0.0,0.0,2.0,26.0,0.0
1.0,4.0,288.0,339.0,5.0,25.0,1.0
1.0,1.0,14.0,9.0,19.0,1.0,1.0
1.0,1.0,0.0,7.0,7.0,21.0,0.0
2.0,2.0,20.0,85.0,15.0,5.0,0.0
1.0,1.0,1.0,0.0,13.0,146.0,1.0
1.0,1.0,1.0,1.0,4.0,1.0,1.0
1.0,1.0,10.0,0.0,11.0,9.0,1.0
1.0,1.0,7.0,7.0,4.0,14.0,0.0
1.0,2.0,162.0,164.0,15.0,2.0,1.0
2.0,4.0,0.0,275.0,11.0,34.0,0.0
1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,2.0,0.0,18.0,242.0,1.0
3.0,3.0,10.0,5.0,19.0,148.0,0.0
3.0,3.0,30.0,20.0,19.0,87.0,1.0
5.472600377877324,9.0,61.28760982481042,40.164397732736056,16.527399622122676,363.4520075575465,1.0
2.0,2.0,18.0,5.0,20.0,48.0,0.0
3.0,3.0,13.0,5.0,13.0,156.0,0.0
1.0,1.0,7.0,5.0,20.0,41.0,0.0
1.0,1.0,3.0,1.0,18.0,20.0,0.0
