add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_max_degree,contains_bug
40,88,2.2,2.2,21,176,4,40,92,22,TRUE
40,79,1.975,1.975,14,158,3,33,56,11,TRUE
8,10,1.25,1.25,5,20,2,8,10,5,TRUE
20,28,1.4,1.4,11,56,2,23,37,10,TRUE
32,70,2.1875,2.1875,15,140,4,33,73,15,TRUE
19,29,1.5263,1.5263,9,58,3,0,0,0,TRUE
20,32,1.6,1.6,11,64,3,3,2,2,TRUE
37,87,2.3514,2.3514,17,174,4,36,89,22,TRUE
33,61,1.8485,1.8485,16,122,3,25,47,11,TRUE
37,88,2.3784,2.3784,17,176,4,43,99,17,TRUE
18,28,1.5556,1.5556,9,56,3,32,57,13,TRUE
25,51,2.04,2.04,12,102,4,27,58,11,TRUE
30,55,1.8333,1.8333,15,110,3,21,40,11,TRUE
40,79,1.975,1.975,14,158,3,40,82,17,TRUE
22,33,1.5,1.5,8,66,3,16,23,8,TRUE
37,85,2.2973,2.2973,17,170,4,31,63,16,TRUE
29,48,1.6552,1.6552,10,96,3,8,11,6,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
32,77,2.4062,2.4062,17,154,4,41,94,21,TRUE
20,33,1.65,1.65,10,66,3,38,77,17,TRUE
18,30,1.6667,1.6667,13,60,3,21,38,12,TRUE
31,66,2.129,2.129,15,132,4,33,70,18,TRUE
17,27,1.5882,1.5882,10,54,3,24,45,13,TRUE
18,27,1.5,1.5,12,54,3,13,19,8,TRUE
20,27,1.35,1.35,10,54,2,13,18,8,TRUE
33,55,1.6667,1.6667,16,110,3,31,53,16,TRUE
21,35,1.6667,1.6667,14,70,3,10,14,8,TRUE
42,106,2.5238,2.5238,22,212,5,39,93,20,TRUE
38,81,2.1316,2.1316,16,162,4,42,91,18,TRUE
31,59,1.9032,1.9032,11,118,3,37,81,15,TRUE
36,66,1.8333,1.8333,14,132,3,23,38,11,TRUE
35,64,1.8286,1.8286,17,128,3,35,62,15,TRUE
36,74,2.0556,2.0556,15,148,4,26,46,12,TRUE
22,31,1.4091,1.4091,11,62,2,14,19,8,TRUE
41,97,2.3659,2.3659,19,194,4,39,92,20,TRUE
24,37,1.5417,1.5417,9,74,3,6,7,4,TRUE
30,53,1.7667,1.7667,13,106,3,19,28,9,TRUE
15,19,1.2667,1.2667,8,38,2,0,0,0,TRUE
19,27,1.4211,1.4211,8,54,3,18,27,8,TRUE
29,52,1.7931,1.7931,12,104,3,10,19,9,TRUE
14,19,1.3571,1.3571,7,38,2,12,16,6,TRUE
13,20,1.5385,1.5385,7,40,3,20,33,9,TRUE
28,53,1.8929,1.8929,13,106,3,20,38,12,TRUE
46,123,2.6739,2.6739,31,246,5,46,121,31,TRUE
23,47,2.0435,2.0435,13,94,4,17,31,10,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
13,17,1.3077,1.3077,7,34,2,9,11,5,FALSE
7,9,1.2857,1.2857,5,18,2,7,9,5,FALSE
11,14,1.2727,1.2727,6,28,2,11,13,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,9,1.2857,1.2857,5,18,2,0,0,0,FALSE
13,17,1.3077,1.3077,7,34,2,12,16,6,FALSE
24,29,1.2083,1.2083,8,58,2,16,18,5,FALSE
28,47,1.6786,1.6786,11,94,3,9,8,4,FALSE
36,79,2.1944,2.1944,16,158,4,19,33,11,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
22,42,1.9091,1.9091,10,84,3,14,18,5,FALSE
13,16,1.2308,1.2308,6,32,2,0,0,0,FALSE
3,3,1,1,4,6,2,3,3,4,FALSE
26,46,1.7692,1.7692,14,92,3,27,43,10,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,9,1.2857,1.2857,5,18,2,7,9,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
21,37,1.7619,1.7619,10,74,3,19,34,9,FALSE
12,22,1.8333,1.8333,7,44,3,16,26,9,FALSE
18,24,1.3333,1.3333,9,48,2,0,0,0,FALSE
23,37,1.6087,1.6087,9,74,3,11,16,7,FALSE
7,10,1.4286,1.4286,5,20,2,7,10,5,FALSE
23,39,1.6957,1.6957,13,78,3,24,41,12,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,51,108,23,FALSE
12,14,1.1667,1.1667,5,28,2,0,0,0,FALSE
17,24,1.4118,1.4118,8,48,2,17,22,8,FALSE
10,11,1.1,1.1,4,22,2,10,11,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
8,8,1,1,4,16,2,8,8,4,FALSE
16,25,1.5625,1.5625,11,50,3,19,28,9,FALSE
17,21,1.2353,1.2353,7,42,2,16,23,10,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
22,42,1.9091,1.9091,10,84,3,14,18,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
11,14,1.2727,1.2727,6,28,2,11,13,5,FALSE
0,0,0,0,0,0,0,33,59,14,FALSE
