add_num_nodes,add_num_edges,add_avg_out_degree,add_max_degree,add_sum_degree,del_num_edges,del_sum_degree,ns,nd,entropy,contains_bug
12,19,1.5833,8,38,19,38,1,1,1,FALSE
12,15,1.25,7,30,16,32,0,0,0,FALSE
9,11,1.2222,6,22,11,22,1,1,0,FALSE
21,32,1.5238,13,64,32,64,0,0,0,FALSE
25,44,1.76,18,88,12,24,1,1,0,FALSE
16,25,1.5625,10,50,25,50,0,0,0,FALSE
10,15,1.5,8,30,15,30,0,0,0,FALSE
17,28,1.6471,11,56,26,52,1,1,0.881291,FALSE
32,62,1.9375,17,124,60,120,1,2,1.64079,FALSE
11,15,1.3636,7,30,15,30,1,1,0,FALSE
18,28,1.5556,12,56,28,56,1,1,0,FALSE
10,15,1.5,8,30,15,30,0,0,0,FALSE
19,27,1.4211,10,54,22,44,1,1,0,FALSE
23,40,1.7391,12,80,40,80,1,2,1,FALSE
27,50,1.8519,17,100,50,100,0,0,0,FALSE
14,22,1.5714,9,44,22,44,0,0,0,FALSE
24,38,1.5833,14,76,45,90,1,1,0,FALSE
10,13,1.3,8,26,11,22,1,1,0,FALSE
15,21,1.4,9,42,21,42,1,2,0.918296,FALSE
