contains_bug,entropy,add_num_nodes,add_num_edges,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_max_degree
True,1.960340271,36,72,2.0,14,144,4,33,60,13
True,1.41990318,15,22,1.4667,7,44,2,22,39,10
True,1.561278124,11,14,1.2727,5,28,2,11,14,5
True,1.0,0,0,0.0,0,0,0,0,0,0
True,1.0,0,0,0.0,0,0,0,0,0,0
True,1.432513473,32,60,1.875,12,120,3,29,55,10
True,1.043422253,29,53,1.8276,11,106,3,31,57,11
True,1.043422253,29,53,1.8276,11,106,3,31,57,11
True,1.644001133,21,32,1.5238,9,64,3,23,34,10
True,1.644001133,21,32,1.5238,9,64,3,23,34,10
True,0.0,30,54,1.8,12,108,3,20,32,9
True,0.910622368,30,54,1.8,12,108,3,20,32,9
True,0.0,8,11,1.375,6,22,2,8,11,6
True,2.822229226,19,27,1.4211,8,54,2,8,11,6
True,2.416638808,36,69,1.9167,14,138,3,32,64,14
True,1.97848108,33,63,1.9091,14,126,3,31,62,14
True,2.993202687,27,39,1.4444,10,78,3,19,29,9
True,0.0,17,30,1.7647,9,60,3,13,15,6
True,2.856457428,30,54,1.8,14,108,3,17,25,12
True,0.650022422,23,37,1.6087,11,74,3,12,17,8
True,1.966896125,30,48,1.6,10,96,3,15,19,9
True,1.543265315,29,51,1.7586,13,102,3,30,61,15
True,2.268134911,30,57,1.9,12,114,3,25,40,11
True,3.43542073,42,90,2.1429,19,180,4,31,61,12
True,2.248216359,29,53,1.8276,12,106,3,22,36,9
True,2.593098705,27,47,1.7407,13,94,3,4,3,3
True,2.25237538,39,80,2.0513,16,160,4,27,48,12
True,1.66501711,36,68,1.8889,16,136,3,12,17,7
True,0.907796241,23,40,1.7391,11,80,3,14,21,10
True,0.907796241,23,40,1.7391,11,80,3,14,21,10
True,3.355350426,33,62,1.8788,12,124,3,12,14,5
True,1.845114889,29,46,1.5862,11,92,3,21,32,8
True,0.918295834,14,18,1.2857,8,36,2,8,11,6
True,2.64169653,33,63,1.9091,13,126,3,28,47,11
True,0.733537929,21,32,1.5238,8,64,3,20,30,7
True,0.66319684,27,45,1.6667,12,90,3,7,10,5
True,2.583481822,33,65,1.9697,13,130,3,30,62,14
True,2.583481822,33,65,1.9697,13,130,3,30,62,14
True,2.346163966,29,51,1.7586,12,102,3,21,32,10
True,2.588033935,29,51,1.7586,12,102,3,21,32,10
True,1.181987705,26,43,1.6538,12,86,3,17,28,11
True,3.487348619,35,74,2.1143,16,148,4,32,68,16
True,4.062018028,35,79,2.2571,17,158,4,32,68,16
True,2.11927127,32,62,1.9375,14,124,3,22,33,11
True,3.193296128,36,76,2.1111,15,152,4,32,60,14
True,0.731884343,22,37,1.6818,10,74,3,21,31,9
True,1.052681226,27,47,1.7407,11,94,3,21,33,10
True,0.901239054,24,44,1.8333,10,88,3,0,0,0
True,0.0,11,13,1.1818,5,26,2,0,0,0
True,0.899743759,0,0,0.0,0,0,0,0,0,0
True,0.899743759,0,0,0.0,0,0,0,0,0,0
True,0.0,30,49,1.6333,11,98,3,0,0,0
True,0.0,30,49,1.6333,11,98,3,0,0,0
True,0.0,18,30,1.6667,9,60,3,19,29,10
True,0.0,22,35,1.5909,10,70,3,18,24,9
True,0.0,22,35,1.5909,10,70,3,18,24,9
True,5.679431597,35,70,2.0,13,140,4,33,68,16
True,0.0,8,11,1.375,6,22,2,0,0,0
True,4.680633226,10,13,1.3,7,26,2,10,13,7
True,5.072873718,30,58,1.9333,13,116,3,30,58,13
True,1.687261388,32,65,2.0312,13,130,4,24,44,12
True,2.533656714,23,36,1.5652,10,72,3,18,23,8
True,2.077427422,24,38,1.5833,9,76,3,15,20,8
True,1.264158563,21,34,1.619,9,68,3,17,27,10
True,0.40528061,23,34,1.4783,9,68,2,0,0,0
True,1.88055931,15,24,1.6,11,48,3,20,31,11
True,1.746195873,14,22,1.5714,10,44,3,14,22,10
True,0.403207133,23,34,1.4783,9,68,2,0,0,0
True,1.264158563,21,34,1.619,9,68,3,17,27,10
True,1.789117547,32,69,2.1562,18,138,4,32,68,19
True,1.358328975,31,58,1.871,16,116,3,27,50,16
True,2.898237842,25,55,2.2,15,110,4,53,137,32
True,5.846610531,18,29,1.6111,9,58,3,58,158,35
True,1.848826619,34,62,1.8235,17,124,3,26,42,12
True,3.605293093,57,158,2.7719,35,316,5,56,153,34
True,1.851353555,41,95,2.3171,17,190,4,50,125,26
True,1.629538266,20,25,1.25,8,50,2,10,13,7
True,3.989898095,9,12,1.3333,6,24,2,9,12,6
True,0.799048521,18,23,1.2778,8,46,2,8,9,6
True,3.989898095,9,12,1.3333,6,24,2,9,12,6
True,3.269181182,37,72,1.9459,14,144,3,29,54,12
True,3.385972821,37,72,1.9459,14,144,3,29,54,12
True,1.236386411,14,19,1.3571,8,38,2,14,19,8
True,0.768691303,28,47,1.6786,10,94,3,24,36,9
True,4.994272183,0,0,0.0,0,0,0,0,0,0
True,0.0,0,0,0.0,0,0,0,0,0,0
True,2.11906256,34,62,1.8235,13,124,3,15,20,7
True,1.322179346,7,9,1.2857,5,18,2,7,9,5
True,0.450066658,21,30,1.4286,9,60,3,13,18,7
True,0.450066658,21,30,1.4286,9,60,3,13,18,7
True,0.0,8,12,1.5,6,24,3,8,12,6
True,0.84758468,22,35,1.5909,12,70,3,3,4,4
True,1.115896022,13,20,1.5385,10,40,3,18,24,8
True,0.591672779,27,43,1.5926,11,86,3,14,18,8
True,0.591672779,27,43,1.5926,11,86,3,14,18,8
True,1.570950594,15,24,1.6,10,48,3,15,24,10
True,3.489537351,40,87,2.175,17,174,4,45,99,22
True,0.485460761,14,20,1.4286,9,40,2,12,17,7
True,0.485460761,14,20,1.4286,9,40,2,12,17,7
True,2.190604751,0,0,0.0,0,0,0,27,42,13
True,4.052926839,48,115,2.3958,20,230,4,23,40,12
