contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_sum_degree
True,44,96,2.1818,2.1818,17,192,4.47,22,40,80
True,42,85,2.0238,2.0238,17,170,4.15,11,17,34
True,50,123,2.46,2.46,30,246,5.02,49,121,242
True,50,135,2.7,2.7,29,270,5.51,51,142,284
True,9,12,1.3333,1.3333,7,24,3.0,9,12,24
True,42,88,2.0952,2.0952,17,176,4.29,40,81,162
True,27,53,1.963,1.963,15,106,4.08,24,44,88
True,44,87,1.9773,1.9773,17,174,4.05,11,17,34
True,43,87,2.0233,2.0233,17,174,4.14,11,17,34
True,34,77,2.2647,2.2647,20,154,4.67,9,12,24
True,30,59,1.9667,1.9667,16,118,4.07,30,59,118
True,22,38,1.7273,1.7273,12,76,3.62,17,27,54
True,45,93,2.0667,2.0667,22,186,4.23,26,47,94
True,44,94,2.1364,2.1364,17,188,4.37,11,17,34
True,41,88,2.1463,2.1463,17,176,4.4,39,82,164
True,14,23,1.6429,1.6429,12,46,3.54,14,23,46
True,32,60,1.875,1.875,14,120,3.87,29,52,104
True,21,35,1.6667,1.6667,13,70,3.5,21,35,70
True,39,80,2.0513,2.0513,17,160,4.21,22,39,78
True,47,115,2.4468,2.4468,28,230,5.0,44,108,216
True,11,14,1.2727,1.2727,7,28,3.11,11,14,28
True,31,63,2.0323,2.0323,15,126,4.2,31,61,122
True,15,25,1.6667,1.6667,13,50,3.57,27,48,96
True,35,70,2.0,2.0,17,140,4.12,35,70,140
True,27,53,1.963,1.963,17,106,4.08,27,53,106
True,26,47,1.8077,1.8077,15,94,3.76,26,47,94
True,23,41,1.7826,1.7826,15,82,3.73,19,35,70
True,37,82,2.2162,2.2162,18,164,4.56,37,82,164
True,23,44,1.913,1.913,13,88,4.0,22,39,78
True,44,111,2.5227,2.5227,20,222,5.16,35,76,152
True,14,24,1.7143,1.7143,12,48,3.69,14,24,48
True,36,84,2.3333,2.3333,19,168,4.8,36,82,164
True,30,55,1.8333,1.8333,15,110,3.79,30,55,110
True,35,84,2.4,2.4,24,168,4.94,35,84,168
True,31,69,2.2258,2.2258,19,138,4.6,31,69,138
True,42,100,2.381,2.381,24,200,4.88,43,99,198
True,35,72,2.0571,2.0571,16,144,4.24,35,72,144
True,17,29,1.7059,1.7059,14,58,3.62,17,29,58
True,39,83,2.1282,2.1282,19,166,4.37,38,81,162
True,41,85,2.0732,2.0732,17,170,4.25,38,78,156
True,33,80,2.4242,2.4242,19,160,5.0,28,56,112
True,50,125,2.5,2.5,33,250,5.1,48,123,246
True,9,12,1.3333,1.3333,7,24,3.0,9,12,24
True,38,70,1.8421,1.8421,18,140,3.78,22,29,58
True,34,61,1.7941,1.7941,16,122,3.7,11,17,34
True,28,48,1.7143,1.7143,15,96,3.56,28,45,90
True,15,21,1.4,1.4,10,42,3.23,15,21,42
True,36,82,2.2778,2.2778,19,164,4.69,36,82,164
True,16,29,1.8125,1.8125,12,58,3.87,16,29,58
True,13,21,1.6154,1.6154,9,42,3.5,13,21,42
True,35,65,1.8571,1.8571,16,130,3.82,11,17,34
True,24,47,1.9583,1.9583,14,94,4.09,24,46,92
True,20,28,1.4,1.4,12,56,2.95,20,28,56
True,43,96,2.2326,2.2326,22,192,4.57,43,96,192
True,35,77,2.2,2.2,18,154,4.53,34,75,150
True,18,31,1.7222,1.7222,13,62,3.65,18,31,62
True,44,93,2.1136,2.1136,18,186,4.33,44,93,186
True,17,26,1.5294,1.5294,11,52,3.25,21,33,66
True,9,12,1.3333,1.3333,7,24,3.0,9,12,24
True,40,76,1.9,1.9,16,152,3.9,40,76,152
True,31,56,1.8065,1.8065,16,112,3.73,11,17,34
True,35,71,2.0286,2.0286,17,142,4.18,35,71,142
True,38,91,2.3947,2.3947,23,182,4.92,38,96,192
True,39,85,2.1795,2.1795,20,170,4.47,40,87,174
True,20,32,1.6,1.6,14,64,3.37,15,24,48
True,21,36,1.7143,1.7143,15,72,3.6,15,25,50
True,35,76,2.1714,2.1714,18,152,4.47,34,72,144
True,44,91,2.0682,2.0682,17,182,4.23,11,17,34
True,28,54,1.9286,1.9286,13,108,4.0,29,54,108
True,37,82,2.2162,2.2162,19,164,4.56,30,62,124
True,18,26,1.4444,1.4444,10,52,3.06,18,26,52
True,9,12,1.3333,1.3333,7,24,3.0,9,12,24
True,43,87,2.0233,2.0233,17,174,4.14,19,29,58
True,19,32,1.6842,1.6842,14,64,3.56,19,35,70
True,35,74,2.1143,2.1143,18,148,4.35,35,74,148
