contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_sum_degree,entropy,la
False,23,37,1.6087,1.6087,11,74,3.36,74,0.94566,6
False,16,25,1.5625,1.5625,12,50,3.33,50,0.811278,3
False,29,52,1.7931,1.7931,15,104,3.71,98,0.0,0
False,10,14,1.4,1.4,8,28,3.11,28,0.0,16
False,17,25,1.4706,1.4706,8,50,3.12,50,0.0,5
False,14,21,1.5,1.5,11,42,3.5,42,0.0,3
False,6,7,1.1667,1.1667,5,14,2.8,14,0.0,0
False,36,70,1.9444,1.9444,16,140,4.12,130,0.0,0
False,19,29,1.5263,1.5263,9,58,3.22,58,0.0,1
False,35,67,1.9143,1.9143,19,134,3.94,128,1.88431,7
False,40,85,2.125,2.125,20,170,4.36,152,0.0,0
False,11,17,1.5455,1.5455,8,34,3.4,34,0.0,16
False,20,31,1.55,1.55,11,62,3.26,42,0.0,14
False,14,27,1.9286,1.9286,10,54,4.15,54,0.0,9
False,20,28,1.4,1.4,12,56,3.11,42,0.0,10
False,30,57,1.9,1.9,19,114,3.93,110,0.0,13
False,16,24,1.5,1.5,12,48,3.2,48,1.0,2
False,42,99,2.3571,2.3571,18,198,4.83,168,0.0,0
False,23,34,1.4783,1.4783,11,68,3.09,68,0.0,7
False,24,41,1.7083,1.7083,15,82,3.57,84,0.0,1
False,34,72,2.1176,2.1176,16,144,4.36,122,0.760786,37
False,12,17,1.4167,1.4167,7,34,3.09,34,0.0,1
False,10,15,1.5,1.5,8,30,3.33,30,0.0,3
False,32,64,2.0,2.0,16,128,4.27,88,1.49019,24
False,30,65,2.1667,2.1667,17,130,4.48,118,1.92401,65
False,30,54,1.8,1.8,15,108,3.86,102,1.80755,18
False,17,30,1.7647,1.7647,13,60,3.75,58,0.985228,5
False,26,39,1.5,1.5,14,78,3.12,72,0.0,0
False,20,28,1.4,1.4,12,56,3.11,42,0.0,10
False,36,77,2.1389,2.1389,19,154,4.4,100,0.0,0
False,20,30,1.5,1.5,13,60,3.16,60,0.0,1
False,26,41,1.5769,1.5769,14,82,3.42,82,0.0,2
False,38,88,2.3158,2.3158,21,176,4.89,122,0.0,0
False,43,92,2.1395,2.1395,17,184,4.38,164,0.0,0
False,11,15,1.3636,1.3636,8,30,3.33,30,0.0,6
False,14,22,1.5714,1.5714,12,44,3.38,46,1.36096,7
False,20,31,1.55,1.55,10,62,3.44,58,0.0,1
False,13,19,1.4615,1.4615,11,38,3.45,38,0.0,6
False,20,32,1.6,1.6,10,64,3.37,64,0.650022,6
False,30,61,2.0333,2.0333,18,122,4.21,116,0.0,0
False,36,77,2.1389,2.1389,19,154,4.4,158,0.0,0
False,21,31,1.4762,1.4762,10,62,3.1,62,0.0,1
False,9,10,1.1111,1.1111,6,20,2.5,20,0.0,1
False,18,28,1.5556,1.5556,10,56,3.29,30,0.0,0
False,32,61,1.9062,1.9062,20,122,3.94,112,1.50798,31
False,29,52,1.7931,1.7931,16,104,3.71,102,0.195909,20
False,20,32,1.6,1.6,10,64,3.37,64,0.650022,6
False,38,73,1.9211,1.9211,17,146,3.95,134,0.0,0
False,41,92,2.2439,2.2439,21,184,4.6,110,1.77673,241
False,20,37,1.85,1.85,12,74,3.89,40,0.0,27
False,16,25,1.5625,1.5625,11,50,3.33,48,0.0,0
False,20,32,1.6,1.6,10,64,3.37,64,0.650022,6
False,44,116,2.6364,2.6364,23,232,5.4,206,0.0,0
False,40,92,2.3,2.3,19,184,4.72,184,1.71484,125
False,23,41,1.7826,1.7826,14,82,3.73,30,0.0,48
False,28,53,1.8929,1.8929,16,106,3.93,106,0.0,0
False,10,15,1.5,1.5,8,30,3.33,30,0.0,1
False,20,28,1.4,1.4,12,56,3.11,42,0.0,10
False,30,57,1.9,1.9,19,114,3.93,110,0.0,13
False,28,55,1.9643,1.9643,16,110,4.07,110,0.156491,35
False,27,43,1.5926,1.5926,11,86,3.31,86,0.0,12
False,28,48,1.7143,1.7143,15,96,3.56,90,0.0,14
False,32,70,2.1875,2.1875,17,140,4.52,126,1.30582,43
False,20,30,1.5,1.5,13,60,3.16,60,0.0,1
False,11,15,1.3636,1.3636,7,30,3.0,30,0.0,1
False,43,92,2.1395,2.1395,17,184,4.38,164,0.0,0
False,10,15,1.5,1.5,8,30,3.33,30,0.0,3
False,49,117,2.3878,2.3878,21,234,4.88,224,1.66739,113
False,30,54,1.8,1.8,15,108,4.0,88,1.47404,20
False,15,23,1.5333,1.5333,13,46,3.29,46,0.0,0
False,15,20,1.3333,1.3333,8,40,2.86,40,1.66943,75
False,24,42,1.75,1.75,12,84,3.65,86,0.0,15
False,43,85,1.9767,1.9767,19,170,4.15,142,0.0,0
False,22,43,1.9545,1.9545,16,86,4.1,84,0.1134,367
False,21,36,1.7143,1.7143,14,72,3.6,62,0.0,3
False,18,27,1.5,1.5,11,54,3.18,56,0.0,2
False,22,37,1.6818,1.6818,12,74,3.52,44,0.0,0
False,33,58,1.7576,1.7576,15,116,3.74,98,1.16765,44
False,18,28,1.5556,1.5556,10,56,3.29,30,0.0,33
False,10,18,1.8,1.8,8,36,4.0,36,0.0,1
False,13,20,1.5385,1.5385,10,40,3.33,40,0.0,1
False,23,32,1.3913,1.3913,12,64,3.05,64,0.0,1
False,43,85,1.9767,1.9767,19,170,4.15,142,1.23287,64
False,19,28,1.4737,1.4737,10,56,3.11,48,0.0,11
False,21,35,1.6667,1.6667,10,70,3.89,66,0.0,7
False,13,21,1.6154,1.6154,11,42,3.5,42,0.631086,30
False,40,85,2.125,2.125,20,170,4.36,152,1.14346,28
False,37,80,2.1622,2.1622,19,160,4.44,118,0.21451,70
False,28,55,1.9643,1.9643,16,110,4.07,110,0.156491,35
False,35,68,1.9429,1.9429,15,136,4.0,106,1.43156,43
False,18,28,1.5556,1.5556,10,56,3.29,30,0.0,33
False,6,5,0.8333,0.8333,5,10,2.0,10,1.32501,12
False,25,40,1.6,1.6,12,80,3.33,76,0.890492,12
False,12,18,1.5,1.5,9,36,3.27,36,0.0,0
False,12,15,1.25,1.25,7,30,3.0,30,0.0,3
False,19,29,1.5263,1.5263,9,58,3.22,58,0.0,1
False,29,50,1.7241,1.7241,15,100,3.57,100,0.0,0
False,17,37,2.1765,2.1765,16,74,4.62,74,0.0,0
False,13,17,1.3077,1.3077,8,34,2.83,32,0.0,1
False,11,17,1.5455,1.5455,8,34,3.4,34,0.0,16
False,9,11,1.2222,1.2222,6,22,2.75,22,0.0,2
False,40,88,2.2,2.2,18,176,4.63,80,0.0,0
