contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_sum_degree,entropy,la
True,37,82,2.2162,2.2162,21,164,4.56,124,1.54583,49
True,42,102,2.4286,2.4286,22,204,5.1,188,1.7678,121
True,25,53,2.12,2.12,16,106,4.42,118,1.66646,53
True,13,22,1.6923,1.6923,10,44,3.67,42,1.91279,101
True,38,78,2.0526,2.0526,18,156,4.22,94,1.38616,397
True,19,32,1.6842,1.6842,13,64,3.56,80,1.00191,122
True,42,88,2.0952,2.0952,19,176,4.4,140,1.20246,479
True,31,65,2.0968,2.0968,16,130,4.48,128,1.94128,46
True,25,50,2.0,2.0,16,100,4.17,94,1.65084,27
True,11,18,1.6364,1.6364,8,36,3.6,36,2.68537,94
True,34,66,1.9412,1.9412,16,132,4.0,130,2.34906,243
True,32,63,1.9688,1.9688,16,126,4.06,110,1.74717,27
True,43,95,2.2093,2.2093,18,190,4.63,150,1.41906,383
True,35,80,2.2857,2.2857,18,160,4.71,168,2.07052,35
True,13,21,1.6154,1.6154,9,42,3.5,42,0.612196,55
True,32,69,2.1562,2.1562,20,138,4.45,128,1.46081,168
True,24,42,1.75,1.75,12,84,3.65,76,1.51749,34
True,40,92,2.3,2.3,19,184,4.72,172,1.51567,141
True,36,74,2.0556,2.0556,17,148,4.23,132,0.446481,64
True,44,100,2.2727,2.2727,22,200,4.65,104,2.21743,265
True,36,71,1.9722,1.9722,19,142,4.06,106,1.97327,49
True,28,56,2.0,2.0,16,112,4.15,46,1.8367,82
True,20,37,1.85,1.85,15,74,3.89,74,0.0,18
True,44,104,2.3636,2.3636,25,208,4.95,212,0.920729,432
True,34,76,2.2353,2.2353,20,152,4.75,102,1.78663,46
True,30,61,2.0333,2.0333,18,122,4.21,116,1.76274,28
True,47,116,2.4681,2.4681,26,232,5.16,234,2.01794,73
True,25,45,1.8,1.8,16,90,3.75,86,1.82297,255
True,24,46,1.9167,1.9167,16,92,4.0,80,2.2051,180
True,35,84,2.4,2.4,19,168,4.94,146,2.3884,236
True,44,109,2.4773,2.4773,25,218,5.07,134,2.80525,365
True,38,86,2.2632,2.2632,21,172,4.65,130,2.35067,143
True,26,41,1.5769,1.5769,17,82,3.28,82,1.5,3
True,17,28,1.6471,1.6471,13,56,3.73,40,5.45838,704
True,27,46,1.7037,1.7037,11,92,3.54,86,0.675191,60
True,45,116,2.5778,2.5778,28,232,5.27,200,0.933434,119
True,21,34,1.619,1.619,12,68,3.58,68,0.77935,9
True,29,60,2.069,2.069,16,120,4.29,126,1.64625,46
True,11,15,1.3636,1.3636,7,30,3.0,30,0.0,5
True,22,34,1.5455,1.5455,14,68,3.24,68,0.0,1
True,21,32,1.5238,1.5238,14,64,3.2,46,0.0,6
True,35,74,2.1143,2.1143,16,148,4.35,138,1.00401,73
True,20,30,1.5,1.5,10,60,3.16,60,1.63891,81
True,28,62,2.2143,2.2143,15,124,4.59,122,2.31133,84
True,33,68,2.0606,2.0606,17,136,4.25,90,0.934068,19
True,30,60,2.0,2.0,18,120,4.14,102,0.94566,19
True,32,63,1.9688,1.9688,18,126,4.06,132,2.3089,102
True,37,80,2.1622,2.1622,19,160,4.44,152,1.57983,53
True,28,47,1.6786,1.6786,13,94,3.48,94,0.297472,15
True,39,83,2.1282,2.1282,21,166,4.37,148,2.44959,125
True,36,87,2.4167,2.4167,19,174,4.97,174,1.20825,41
True,25,51,2.04,2.04,17,102,4.25,74,1.19527,29
True,23,38,1.6522,1.6522,14,76,3.45,44,0.926212,34
True,6,7,1.1667,1.1667,5,14,2.8,14,1.64883,25
True,31,62,2.0,2.0,15,124,4.13,120,0.863121,34
True,45,119,2.6444,2.6444,26,238,5.53,234,1.55134,100
True,38,71,1.8684,1.8684,19,142,3.94,140,0.548713,49
True,12,19,1.5833,1.5833,9,38,3.45,38,2.30695,146
True,25,45,1.8,1.8,15,90,3.75,68,0.996316,25
True,26,52,2.0,2.0,14,104,4.16,98,0.0,15
True,24,43,1.7917,1.7917,14,86,3.74,86,2.07383,58
True,28,49,1.75,1.75,16,98,3.63,138,0.265347,9
True,26,40,1.5385,1.5385,14,80,3.2,78,1.14007,11
True,42,97,2.3095,2.3095,18,194,4.73,170,1.36953,89
True,41,92,2.2439,2.2439,24,184,4.72,190,1.48026,148
True,23,37,1.6087,1.6087,13,74,3.52,76,0.0,16
True,38,76,2.0,2.0,16,152,4.11,146,0.999854,48
True,34,74,2.1765,2.1765,19,148,4.48,144,0.450251,84
True,41,99,2.4146,2.4146,21,198,4.95,188,0.795277,421
True,6,7,1.1667,1.1667,5,14,2.8,14,1.44667,25
True,23,31,1.3478,1.3478,12,62,2.95,24,0.0,24
True,12,18,1.5,1.5,9,36,3.27,34,0.0,1
True,20,33,1.65,1.65,14,66,3.47,66,1.91765,84
True,23,39,1.6957,1.6957,14,78,3.55,76,0.591673,7
True,30,53,1.7667,1.7667,18,106,3.66,94,1.79618,12
True,20,30,1.5,1.5,12,60,3.33,60,0.0,18
True,27,46,1.7037,1.7037,15,92,3.54,92,1.5,4
True,14,20,1.4286,1.4286,12,40,3.33,40,1.20944,73
True,25,48,1.92,1.92,16,96,4.0,80,0.0,32
True,26,53,2.0385,2.0385,15,106,4.24,102,1.83393,6
True,18,29,1.6111,1.6111,13,58,3.41,54,0.0,16
True,26,51,1.9615,1.9615,16,102,4.08,102,1.11446,111
True,28,54,1.9286,1.9286,16,108,4.0,88,1.43903,38
True,15,24,1.6,1.6,12,48,3.43,46,1.0,5
True,28,53,1.8929,1.8929,18,106,3.93,108,1.15955,9
True,17,30,1.7647,1.7647,13,60,3.75,62,0.532835,22
True,46,95,2.0652,2.0652,19,190,4.32,190,0.809157,487
True,28,52,1.8571,1.8571,15,104,3.85,100,2.09945,14
True,29,59,2.0345,2.0345,15,118,4.21,118,0.99403,14
True,22,42,1.9091,1.9091,13,84,4.0,78,0.918296,6
True,22,37,1.6818,1.6818,15,74,3.52,72,0.0,13
True,22,37,1.6818,1.6818,12,74,3.52,44,1.0,24
True,19,36,1.8947,1.8947,14,72,4.0,74,0.73453,11
True,38,73,1.9211,1.9211,17,146,3.95,134,1.22767,52
True,13,21,1.6154,1.6154,12,42,3.5,42,0.0,6
True,27,51,1.8889,1.8889,16,102,3.92,58,0.461216,67
True,29,52,1.7931,1.7931,15,104,3.71,108,1.94566,14
True,24,46,1.9167,1.9167,16,92,4.0,92,0.0,7
True,35,82,2.3429,2.3429,17,164,4.82,172,2.46557,120
True,45,108,2.4,2.4,25,216,4.91,194,2.1178,207
True,32,60,1.875,1.875,15,120,3.87,96,1.97301,42
True,11,17,1.5455,1.5455,8,34,3.4,34,0.0,30
True,42,93,2.2143,2.2143,18,186,4.54,146,1.86876,172
True,33,63,1.9091,1.9091,19,126,4.06,124,0.940566,32
True,29,52,1.7931,1.7931,15,104,3.71,98,0.721928,9
True,29,55,1.8966,1.8966,17,110,3.93,106,1.57139,73
True,37,80,2.1622,2.1622,17,160,4.57,174,1.17502,105
True,23,39,1.6957,1.6957,16,78,3.55,80,0.0,20
True,29,49,1.6897,1.6897,12,98,3.5,82,1.75375,31
True,27,44,1.6296,1.6296,13,88,3.38,88,0.0,2
True,25,50,2.0,2.0,21,100,4.17,94,0.76799,41
True,30,55,1.8333,1.8333,14,110,3.93,106,1.59359,53
True,27,52,1.9259,1.9259,16,104,4.0,106,1.82307,19
True,37,87,2.3514,2.3514,21,174,4.83,144,1.42723,181
True,26,39,1.5,1.5,14,78,3.12,72,0.845351,9
True,28,56,2.0,2.0,18,112,4.15,110,2.88755,392
True,15,22,1.4667,1.4667,7,44,3.14,44,0.679127,198
True,34,72,2.1176,2.1176,20,144,4.36,138,0.763591,66
True,34,59,1.7353,1.7353,16,118,3.58,80,1.20836,70
True,33,74,2.2424,2.2424,18,148,4.62,112,1.73806,25
True,44,101,2.2955,2.2955,20,202,4.7,166,2.27112,287
True,47,111,2.3617,2.3617,23,222,4.83,210,1.48164,55
True,42,106,2.5238,2.5238,22,212,5.17,196,1.71922,250
True,32,66,2.0625,2.0625,17,132,4.26,116,1.95951,134
True,27,58,2.1481,2.1481,15,116,4.46,120,2.22346,34
True,45,121,2.6889,2.6889,23,242,5.5,220,3.14381,350
True,35,77,2.2,2.2,16,154,4.67,124,0.818384,33
True,23,35,1.5217,1.5217,12,70,3.18,70,0.0,1
True,21,36,1.7143,1.7143,16,72,3.6,72,0.0,4
True,33,73,2.2121,2.2121,16,146,4.56,128,1.74741,29
True,16,27,1.6875,1.6875,11,54,3.6,54,2.33925,36
True,16,23,1.4375,1.4375,10,46,3.07,44,1.0,2
True,34,68,2.0,2.0,17,136,4.12,116,2.04882,148
True,16,25,1.5625,1.5625,11,50,3.33,48,1.09708,46
True,35,71,2.0286,2.0286,16,142,4.18,134,2.07622,40
True,45,109,2.4222,2.4222,23,218,4.95,204,1.82688,191
True,15,20,1.3333,1.3333,10,40,3.08,40,0.0,2
True,41,98,2.3902,2.3902,26,196,4.9,172,1.51956,95
True,38,86,2.2632,2.2632,19,172,4.65,162,1.45374,134
True,19,34,1.7895,1.7895,13,68,3.78,70,0.0,15
True,17,27,1.5882,1.5882,12,54,3.6,52,0.0,6
True,26,48,1.8462,1.8462,14,96,3.84,96,1.40483,20
True,40,99,2.475,2.475,25,198,5.08,190,2.30711,162
True,39,83,2.1282,2.1282,21,166,4.37,166,3.03882,917
True,19,28,1.4737,1.4737,11,56,3.29,52,0.0,1
True,33,62,1.8788,1.8788,17,124,4.0,120,2.35799,58
True,41,95,2.3171,2.3171,23,190,4.75,182,2.09499,61
