commit_hash,contains_bug,add_num_cycles,add_density,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_min_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_cycles,del_density,del_num_nodes,del_num_edges,del_avg_in_degree,del_avg_out_degree,del_max_degree,del_min_degree,del_sum_degree,del_avg_degree,del_median_degree,del_num_selfloops,ns,nd,nf,entropy,la,ld,lt,ndev
cfbd8924e7dba2cb7d83b8e3875e9213774868bc,False,398,0.08,32,75,2.3438,2.3438,17,1,150,4.84,4.0,1,398,0.08,32,75,2.3438,2.3438,17,1,150,4.84,4.0,1,6,13,15,1.77474,89,88,275.733,80
a21e47cef970a529b5f805c146e00179bebe85c5,False,4,0.08,21,34,1.619,1.619,13,1,68,3.4,3.0,1,4,0.08,21,34,1.619,1.619,13,1,68,3.4,3.0,1,2,3,9,3.08496,12,12,149.444,7
07999c23e8137a84e2c9c965a37347df1ec3647e,False,4,0.08,21,34,1.619,1.619,12,1,68,3.4,3.0,1,4,0.08,21,34,1.619,1.619,12,1,68,3.4,3.0,1,4,4,13,3.28077,39,39,195.154,99
57a4fcf0f7a855893a588a2b70d560a7808d168a,False,5,0.15,13,24,1.8462,1.8462,12,2,48,4.0,3.0,1,5,0.15,13,23,1.7692,1.7692,12,1,46,3.83,3.0,1,2,3,5,1.02355,66,3,66.6,5
a5b2e33644f4ded5d2bb2ced8d1d1e502aac5ab0,False,2,0.1,15,20,1.3333,1.3333,8,1,40,2.86,2.0,1,2,0.1,15,20,1.3333,1.3333,8,1,40,2.86,2.0,1,1,1,1,0.0,39,31,517.0,17
5adbd68036064bfae7ef14747b6d6f6152dbc0e9,False,4,0.08,19,27,1.4211,1.4211,10,1,54,3.18,2.0,1,4,0.08,19,27,1.4211,1.4211,10,1,54,3.18,2.0,1,2,2,3,1.5,8,8,7.66667,2
8d7e58e87e1093436d08b1258c407c6625610d2c,False,8,0.12,14,22,1.5714,1.5714,12,1,44,3.38,3.0,1,8,0.12,14,22,1.5714,1.5714,12,1,44,3.38,3.0,1,2,2,3,1.36096,52,58,124.333,11
3521a5ed6462e393c4768a7bb84866d351ff892f,False,7,0.07,23,34,1.4783,1.4783,14,1,68,3.09,2.5,1,7,0.07,21,31,1.4762,1.4762,14,1,62,3.1,2.0,1,1,3,5,1.92311,61,20,63.4,2
6330d8ccc8b1b720c42c8c9239dadc8240ca5025,False,2,0.09,16,21,1.3125,1.3125,9,1,42,2.8,2.0,1,4,0.08,20,30,1.5,1.5,11,2,60,3.33,2.5,1,2,4,5,2.06447,0,47,386.4,60
53d33366962447d60698dc9007b0dc358b45e4af,False,10,0.11,16,27,1.6875,1.6875,14,2,54,3.6,2.0,1,8,0.1,15,22,1.4667,1.4667,13,1,44,3.14,2.0,1,4,5,11,2.57305,77,132,110.818,52
ec66b9b27e2e2d624aa05e1d241fbd8b10b03459,False,20,0.06,31,60,1.9355,1.9355,18,1,120,4.0,3.0,1,5,0.1,16,23,1.4375,1.4375,11,1,46,3.07,2.0,1,1,2,2,0.316599,191,1,5.0,2
4f6559b0c6233d55288cd56425cfd299bc7a2026,False,5,0.15,13,23,1.7692,1.7692,10,1,46,3.83,3.0,2,5,0.15,13,23,1.7692,1.7692,10,1,46,3.83,3.0,2,1,3,3,1.09992,19,36,45.0,2
eadcc3e772d60c198b357e8c0d169d4c95517de9,False,9,0.08,23,39,1.6957,1.6957,16,1,78,3.55,3.0,1,8,0.11,19,36,1.8947,1.8947,14,1,72,4.0,3.0,2,1,1,1,0.0,11,5,564.0,5
26dc0c3112bce143f064ee1807902f1ce3d947fc,False,5,0.16,10,14,1.4,1.4,9,1,28,3.11,2.0,1,5,0.16,10,14,1.4,1.4,9,1,28,3.11,2.0,1,1,2,2,0.721928,9,1,59.5,2
5a74bd17d75ce43181f8e093311ae378d275c3bf,False,5,0.08,20,29,1.45,1.45,13,1,58,3.05,2.0,1,5,0.08,20,29,1.45,1.45,13,1,58,3.05,2.0,1,1,1,1,0.0,3,0,108.0,2
cb0260b37347845ac9148aded9f7b5863d177b25,False,2,0.16,10,14,1.4,1.4,8,1,28,3.11,2.0,1,2,0.16,10,14,1.4,1.4,8,1,28,3.11,2.0,1,1,1,1,0.0,1,1,100.0,7
c41458899bf3d6ee621bf192d8f7a0dd8737e617,False,5,0.12,13,19,1.4615,1.4615,10,1,38,3.17,2.0,1,10,0.06,28,49,1.75,1.75,17,1,98,3.63,3.0,1,1,2,5,1.66437,61,90,200.2,3
3b7267b39b6b7dd38f415450364f0c4ee16a6725,False,4,0.15,11,17,1.5455,1.5455,9,1,34,3.4,3.0,1,4,0.15,11,17,1.5455,1.5455,9,1,34,3.4,3.0,1,2,3,4,1.36634,31,26,391.5,88
e32abdcf10e91b478ec12e07918c6210fc933ca6,False,5,0.11,15,24,1.6,1.6,9,1,48,3.43,3.0,1,3,0.12,14,21,1.5,1.5,8,1,42,3.23,3.0,1,2,2,3,0.668564,20,12,263.333,24
98369fa6fd6455037956f36eebfbf13f61a41072,False,5,0.08,19,28,1.4737,1.4737,13,1,56,3.11,2.0,1,5,0.08,19,28,1.4737,1.4737,13,1,56,3.11,2.0,1,1,1,1,0.0,3,29,123.0,7
b6265e2acb6ce8caaf4312b777ea994b11d84270,False,2,0.12,13,18,1.3846,1.3846,7,1,36,3.0,2.0,1,2,0.12,13,18,1.3846,1.3846,7,1,36,3.0,2.0,1,1,1,1,0.0,4,0,119.0,7
e409be178eae211ac377a1bbddaffa969421cdba,False,3,0.06,25,36,1.44,1.44,11,1,72,3.0,2.0,1,2,0.1,14,18,1.2857,1.2857,8,1,36,2.77,2.0,1,2,4,5,2.06447,47,0,377.0,60
5da5396e8d0d462d495a76167c7814cce7fbfd00,False,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,1,1,4,1.78494,38,25,346.5,9
d9f4298eca5b44edc14525a00502b4925d47f019,False,3,0.07,20,27,1.35,1.35,11,1,54,2.84,2.0,1,3,0.07,20,27,1.35,1.35,11,1,54,2.84,2.0,1,1,1,1,0.0,3,3,776.0,42
e248a3311de32c6a63c110a54cb45bf815b228ee,False,4,0.07,21,30,1.4286,1.4286,12,1,60,3.0,2.0,1,4,0.07,21,30,1.4286,1.4286,12,1,60,3.0,2.0,1,1,1,1,0.0,2,2,776.0,42
1e2aab4a99d74bb7e6531eb10a4c683570d60871,False,11,0.08,23,39,1.6957,1.6957,14,1,78,3.55,3.0,1,11,0.08,23,39,1.6957,1.6957,14,1,78,3.55,3.0,1,2,2,2,0.162326,41,1,1392.0,92
e9e2fef6eb8c80b38386722a06e99408e5185c71,False,2,0.12,13,18,1.3846,1.3846,9,1,36,3.0,2.0,1,2,0.12,13,18,1.3846,1.3846,9,1,36,3.0,2.0,1,1,1,1,0.0,2,3,27.0,57
a951129beaaba5de9b1cc20574f7dbc163cf4432,False,4,0.1,17,26,1.5294,1.5294,11,1,52,3.25,2.5,1,4,0.1,17,26,1.5294,1.5294,11,1,52,3.25,2.5,1,1,1,1,0.0,3,3,27.0,57
b511395ba352594cbf13fb411806c1f102e16d62,False,15,0.08,21,34,1.619,1.619,14,1,68,3.4,2.0,1,15,0.08,21,34,1.619,1.619,14,1,68,3.4,2.0,1,1,1,2,0.977418,9,8,72.5,2
d45a3e8756dec487f37d33aeee03f07983d075ca,False,3,0.11,14,20,1.4286,1.4286,11,1,40,3.08,2.0,1,3,0.12,13,19,1.4615,1.4615,9,1,38,3.17,2.0,1,1,1,1,0.0,9,0,94.0,2
28626adf58a0bdf43a1aa0b103a212e979744adb,False,3,0.09,18,27,1.5,1.5,12,1,54,3.18,2.0,1,4,0.09,19,30,1.5789,1.5789,13,1,60,3.33,2.0,1,2,2,2,0.468996,4,6,350.0,16
128a72855d5f450d83b9d4fb99d2da359fcd4686,False,8,0.15,13,23,1.7692,1.7692,11,1,46,3.83,3.0,1,8,0.15,13,23,1.7692,1.7692,11,1,46,3.83,3.0,1,1,1,1,0.0,36,32,517.0,17
e35c8fb8d9a9d32affbc5cb8c51dbfa682abf33f,False,4,0.08,18,26,1.4444,1.4444,9,1,52,3.25,2.5,1,4,0.08,18,26,1.4444,1.4444,9,1,52,3.25,2.5,1,2,2,3,1.5,8,8,7.66667,2
0b896d8aef6a8024ae1ec727d32af25d1df32585,False,8,0.12,14,22,1.5714,1.5714,12,1,44,3.38,3.0,1,8,0.12,14,22,1.5714,1.5714,12,1,44,3.38,3.0,1,2,2,3,1.38008,52,48,123.0,11
31e56fd728b9438c1fcdb1f027fde8a92e787ccd,False,2,0.13,11,14,1.2727,1.2727,8,1,28,2.8,2.0,1,2,0.13,11,14,1.2727,1.2727,8,1,28,2.8,2.0,1,1,1,1,0.0,0,6,898.0,66
ed15a61e72c8e523931a93e0cbfd9a9d31510660,False,7,0.1,19,34,1.7895,1.7895,15,1,68,3.78,3.0,1,7,0.1,19,34,1.7895,1.7895,15,1,68,3.78,3.0,1,1,1,1,0.0,6,2,127.0,1
58a87f61a8518acae2fdf1eab39aeba1197cb920,True,4,0.14,12,18,1.5,1.5,10,1,36,3.27,3.0,1,4,0.14,12,18,1.5,1.5,10,1,36,3.27,3.0,1,1,1,1,0.0,8,3,89.0,8
0cf235df5a0f9424de6df38fa67de91b7f4b322d,False,7,0.09,22,41,1.8636,1.8636,14,1,82,3.9,3.0,2,8,0.08,23,41,1.7826,1.7826,15,1,82,3.73,2.0,2,1,1,1,0.0,20,9,180.0,1
f89fb96afc07c081f54216f2195ef85e00dc44ad,False,7,0.12,15,26,1.7333,1.7333,11,1,52,3.71,3.0,1,7,0.12,15,26,1.7333,1.7333,11,1,52,3.71,3.0,1,1,1,1,0.0,3,3,400.0,12
479f3d836613ce512ab716e84ad8dc7a1a9c6130,False,2,0.1,16,24,1.5,1.5,10,1,48,3.2,2.0,1,2,0.1,16,24,1.5,1.5,10,1,48,3.2,2.0,1,1,1,1,0.0,1,0,378.0,7
a56ad26ff18be47a9d260b019ef4909f58021357,False,11,0.07,26,46,1.7692,1.7692,17,1,92,3.68,3.0,1,11,0.07,26,44,1.6923,1.6923,17,1,88,3.52,2.0,1,1,1,1,0.0,97,15,255.0,1
3eb3dcb04558f0b07d58c3043f25116339795210,False,2,0.14,10,13,1.3,1.3,6,1,26,2.89,2.0,1,2,0.14,10,13,1.3,1.3,6,1,26,2.89,2.0,1,1,1,1,0.0,2,1,39.0,1
810bc41bb400802577846d971f72c242ae735053,False,8,0.06,31,54,1.7419,1.7419,15,1,108,3.6,3.0,1,8,0.06,30,49,1.6333,1.6333,15,1,98,3.38,3.0,1,1,1,1,0.0,3,1,86.0,4
0bd04e38c10b19849df58a8eab026ccdbee51750,False,556,0.05,43,99,2.3023,2.3023,23,1,198,4.71,4.0,1,13,0.06,28,48,1.7143,1.7143,20,1,96,3.56,3.0,1,2,4,11,2.4563,162,10,443.636,57
86e9f1f2e9c6ee0886a54a3e57d59068e9ad4d9d,False,4,0.13,13,20,1.5385,1.5385,10,1,40,3.33,3.0,1,4,0.13,13,20,1.5385,1.5385,10,1,40,3.33,3.0,1,1,1,1,0.0,9,2,29.0,1
a9e149c0fec0ae78b4619f6ae54e2b54e5e7598a,False,3,0.08,18,24,1.3333,1.3333,10,1,48,2.82,2.0,1,3,0.07,21,28,1.3333,1.3333,11,1,56,2.8,2.0,1,1,1,1,0.0,1,1,50.0,3
368a0fa5ec89f70c618ed4f5341f635ef588546f,False,7,0.15,11,17,1.5455,1.5455,9,1,34,3.4,3.0,1,7,0.15,11,17,1.5455,1.5455,9,1,34,3.4,3.0,1,1,1,1,0.0,1,1,205.0,14
64da9ec2102efc812457559cf74c46bc456ccfa4,False,8,0.15,13,23,1.7692,1.7692,11,1,46,3.83,3.0,1,8,0.15,13,23,1.7692,1.7692,11,1,46,3.83,3.0,1,1,1,1,0.0,140,84,462.0,16
