commit_hash,contains_bug,argument expr name return,argument expr name return expr,argument name annotation,argument name annotation name,argument name annotation name name,argument_list block block_content comment,argument_list block block_content comment type,argument_list catch,argument_list catch parameter_list,argument_list catch parameter_list parameter,argument_list catch parameter_list parameter decl,argument_list while,argument_list while condition,argument_list while condition expr,block expr specifier,block try block block_content decl_stmt,call name argument_list while,call name argument_list while condition,catch,catch parameter_list,catch parameter_list parameter,catch parameter_list parameter decl,catch parameter_list parameter decl type,class specifier name super_list extends,do,expr name argument expr call,expr name catch,expr name catch parameter_list,expr name catch parameter_list parameter,expr name try,expr name try block,expr name try block block_content
ef7c4f0836abc9ea4fea664e0118c7ae2fdf4c30,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
085c5b793b057b8a28bd2bfcd96ebf03b3ecfc21,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
891584fb7dff4e6d7895f2341b9052559144ea70,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
d2f82cd9258060cd89865ff4f7d5eed9187ede03,1,0,0,1,1,1,0,0,2,2,2,2,0,0,0,6,0,0,0,3,3,3,3,3,0,3,5,0,0,0,1,1,1
5cb976b3ca0b4ecaac27b7963622c1c2f5664251,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e4dbe897cfbd710549a0368e156a49181409a671,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
ca083a5b864b57650073204344bd5461d2a3d78e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa978b0c3097e7d94fe1c8e9a49db24175711221,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
db2dda1b7b6431a2ee57148db2de74c0432b9480,1,10,10,1,1,1,0,0,5,5,5,5,2,2,2,5,1,0,0,25,25,25,25,25,7,158,21,11,11,11,5,5,5
995080c44c2bf296eb58764cab6f536ce5a808a1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,6,3,0,0,0,0,0,0
7f20e6aef77f4fe60a93d06ee13e41d8585125cf,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
191bee18078e90f9d7d465c04142e4612404c9f9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
e435611127905f924dab9a8fdcd36c4518871ba7,1,0,0,1,1,1,0,0,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,1,2,0,0,0,0,0,0
0398fa70be7758279c61735435be4c67f96bb104,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47a091adec4a40cdf6852cc0f8c432c15034cb5e,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c5153331cedf729393601fc3a26c5100a8051f00,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
712504b2df712c9265dee3e4493858508148e32f,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a323f0362417c9f62dd9d6d3ee6c513e78fa03cc,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
c475c85ffcd249b54911a02912992337da8e4c83,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33890b00e1cf7f353631439eb6278d646ce70194,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
fe77101d08ee7ae7b8061c238f4169cb6869bafa,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0,1,1,1,0,0,0
e5086f90863f21787b66dcb82b900ca14144900a,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2c983317179634d6ddc10726defff303be4ae708,1,43,40,1,1,1,2,2,10,10,10,10,10,10,10,14,1,1,1,52,52,52,52,52,12,226,99,31,31,31,7,7,7
85eb280521a46f3668c2e8e2743479eac7d82488,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
f2868c6210124afece595fd5adca04479cc827a1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a8c3587d1ecf84a1b23ae7ed290d8f729da7a56d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1aaecba9127428cbde324aec20c7d58c24953c2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0e1a81cf205a7b18fc38793a9e712b65c0a2304,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0
