commit_hash,contains_bug,add_num_cycles,add_density,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_min_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_cycles,del_density,del_num_nodes,del_num_edges,del_avg_in_degree,del_avg_out_degree,del_max_degree,del_min_degree,del_sum_degree,del_avg_degree,del_median_degree,del_num_selfloops,ns,nd,nf,entropy,la,ld,lt,ndev
2f9fd2932164eb86005e91cffcc66d2d79322db0,False,2,0.23,6,7,1.1667,1.1667,5,1,14,2.8,2.0,1,2,0.23,6,7,1.1667,1.1667,5,1,14,2.8,2.0,1,1,1,1,0.0,3,0,209.0,9
5150accdd2a7c7f0edf964d56bd7d34b5f740cdc,False,4,0.11,15,24,1.6,1.6,10,1,48,3.43,3.0,1,4,0.1,17,26,1.5294,1.5294,11,1,52,3.25,2.5,1,0,0,0,0.0,0,0,0.0,0
f9db08e8ca6821147e12db772d15de106d8c8375,False,4,0.07,21,31,1.4762,1.4762,10,1,62,3.1,2.5,1,4,0.07,21,31,1.4762,1.4762,10,1,62,3.1,2.5,1,1,1,1,0.0,4,4,111.0,10
ec71f06a8d8f3d476542880673c6814e3311c9fe,False,4,0.09,18,29,1.6111,1.6111,11,1,58,3.41,3.0,1,4,0.09,18,29,1.6111,1.6111,11,1,58,3.41,3.0,1,2,2,2,0.650022,6,0,238.0,35
5782fdcd8c516fd8cc236beefbd9c91e03957f6a,False,10,0.06,30,54,1.8,1.8,14,1,108,3.72,3.0,1,9,0.06,28,48,1.7143,1.7143,12,1,96,3.56,3.0,1,1,1,1,0.0,3,0,702.0,15
5331ad0506fa1e13a70613309532588b2cc74bb5,False,13,0.07,26,44,1.6923,1.6923,15,1,88,3.52,3.0,1,13,0.07,26,44,1.6923,1.6923,15,1,88,3.52,3.0,1,1,1,1,0.0,3,3,209.0,8
94065024c7ad049a3750102d8cdccf9d1ac73ee4,False,13,0.08,21,34,1.619,1.619,12,1,68,3.4,3.0,1,8,0.13,13,21,1.6154,1.6154,12,1,42,3.5,3.0,1,1,1,1,0.0,45,0,347.0,12
1e49fe450dbb0c258776526dba3ee583461d42ff,False,4,0.11,15,24,1.6,1.6,10,1,48,3.43,3.0,1,4,0.1,17,26,1.5294,1.5294,11,1,52,3.25,2.5,1,1,1,1,0.0,64,18,41.0,38
b0e88b89149f2aaf7c2eb23524655461214130ee,False,10,0.16,12,21,1.75,1.75,10,1,42,3.82,3.0,1,10,0.11,16,27,1.6875,1.6875,11,1,54,3.6,3.0,1,0,0,0,0.0,0,0,0.0,0
7edebedef10457dfc3062f52b180c91f332d69f0,False,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,1,1,1,0.0,9,9,22.0,4
79358817e53ac0a7afa64c747115d492a74e3155,False,7,0.11,17,29,1.7059,1.7059,11,1,58,3.62,3.0,1,7,0.11,17,29,1.7059,1.7059,11,1,58,3.62,3.0,1,1,1,3,1.5,3,1,471.667,33
96f15e8bb3ca92d61030074c5499d07d8f89a92c,False,8,0.11,16,27,1.6875,1.6875,10,2,54,3.6,3.0,1,8,0.11,16,27,1.6875,1.6875,10,2,54,3.6,3.0,1,1,1,1,0.0,2,3,71.0,11
9666dbaf09519dfa53ced9b903cc2f4100c58ec2,False,7,0.07,23,33,1.4348,1.4348,12,1,66,3.14,2.0,1,7,0.07,23,33,1.4348,1.4348,12,1,66,3.14,2.0,1,1,1,1,0.0,7,3,679.0,21
ff56bb9b44387f7e20ae7de59087cf19ea216726,False,7,0.11,16,27,1.6875,1.6875,10,1,54,3.6,3.0,1,7,0.11,16,26,1.625,1.625,10,1,52,3.47,3.0,1,1,1,1,0.0,7,0,233.0,4
de5e48a46150834a98faf181aded0a9f7a5188eb,False,8,0.09,19,30,1.5789,1.5789,13,1,60,3.33,2.5,1,8,0.09,19,30,1.5789,1.5789,13,1,60,3.33,2.5,1,1,1,1,0.0,1,1,492.0,50
df5131bd41ea86c5b404cd6091284d9ac62368e7,False,3,0.15,11,16,1.4545,1.4545,7,1,32,3.2,2.0,1,3,0.15,11,16,1.4545,1.4545,7,1,32,3.2,2.0,1,1,1,1,0.0,3,0,106.0,10
9e87d82e7f0696a40d08c6e4cff3f040a447ece5,False,2,0.09,14,17,1.2143,1.2143,8,1,34,2.83,2.0,1,2,0.12,12,16,1.3333,1.3333,8,1,32,2.91,2.0,1,0,0,0,0.0,0,0,0.0,0
76dd5257f9b5705734481569c39bf115d4cb973d,False,2,0.14,11,15,1.3636,1.3636,7,1,30,3.0,2.0,1,2,0.14,11,15,1.3636,1.3636,7,1,30,3.0,2.0,1,0,0,0,0.0,0,0,0.0,0
