commit_hash,contains_bug,argument expr name,argument expr name name,argument_list argument expr name name,argument_list if,argument_list if_stmt,argument_list if_stmt if,argument_list if_stmt if condition,argument_list if_stmt if condition expr,block block,block block_content,block block_content comment,block block_content comment type,block block_content expr,block block_content expr_stmt,block block_content expr_stmt expr,block block_content expr_stmt expr name,block_content comment,block_content comment type,condition expr name operator name,else block,else block block_content,expr name,expr name name,expr name name operator,expr name name operator name,expr name operator name,expr operator name name literal,expr operator name name operator,expr_stmt expr name name operator,function,incr,incr expr
708cea853c8b8de1556209837e5f926c019c41df,1,155,50,36,4,4,3,3,3,81,81,18,18,29,29,29,17,18,18,7,12,12,291,92,64,47,18,0,0,8,4,0,0
7a86d09aea58f7bb7217f96b5a41c601d7221782,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,1,0,0
26dd4f34cdeeaa41756774eadf25ca1a14a4b8b7,1,79,16,9,7,7,6,6,6,50,50,13,13,20,20,20,8,13,13,4,9,9,137,41,39,32,7,0,0,8,3,0,0
36b17aab62c7a3d254fa976dfee3093af501f889,1,728,227,121,4,4,4,4,4,176,176,13,13,46,46,45,28,15,15,22,8,8,1155,397,149,111,91,0,4,36,62,20,19
9557559df07057b292ff5fd3023a8f6bcab05c1a,1,3,1,1,0,0,0,0,0,2,2,0,0,2,2,2,0,0,0,0,0,0,9,6,1,0,0,0,1,0,1,0,0
4140f73774e6c8f1509e13d3e196847500204f0b,1,40,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,38,12,11,0,0,1,2,0,0,0
f70b9571a9f773232e2cc18be21227aed1f5e086,1,6,2,2,0,0,0,0,0,5,5,0,0,3,2,2,2,0,0,1,0,0,34,17,12,5,5,0,1,0,1,0,0
1aa40cd3953ea1e5863eb830f3529da6a3223498,1,87,31,15,1,1,1,1,1,11,11,2,2,1,1,1,0,2,2,2,1,1,157,73,40,28,6,0,0,0,1,0,0
071104c07d2db5b10b014754d0b7c585463d5e60,1,25,8,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,47,27,21,14,0,0,0,0,0,0,0
abfa458e2a082eb0f1f7e53d495e0c399499e07d,1,6,0,0,0,0,0,0,0,2,2,0,0,1,1,1,0,0,0,0,0,0,9,2,1,0,0,0,0,0,1,0,0
