commit_hash,contains_bug,annotation expr,annotation expr_stmt,annotation expr_stmt expr,annotation expr_stmt expr operator,annotation expr_stmt expr operator literal,annotation name annotation expr_stmt,annotation name annotation expr_stmt expr,annotation name expr_stmt,annotation name expr_stmt expr,annotation name expr_stmt expr name,argument expr name annotation,argument expr name annotation expr_stmt,argument expr name block expr,argument expr name block return,argument expr operator class,argument expr operator class super,argument expr operator name,argument expr operator name name,argument expr operator name operator,argument name argument_list block,argument name argument_list block annotation,argument name argument_list expr call,argument name name operator operator,argument_list annotation name,argument_list argument expr operator class,argument_list argument expr operator name,argument_list block annotation,argument_list block annotation name,argument_list block annotation name annotation,argument_list expr name,argument_list expr name name,argument_list expr name name operator
489a9c4b0835558669ab30b0cfda68b60c8a238c,1,3,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0
c15a281e01af5dda2e7551dae29bc60a53ca11a7,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
fb9e407cab7294b73fed413108ac103b343d7610,1,5,5,5,5,5,0,0,1,1,1,0,0,3,0,1,1,4,3,1,0,0,0,0,0,1,4,0,0,0,0,0,0
2e14098c19afd5d22d879e5ea31eb0c793abbccf,1,28,28,28,28,28,3,3,0,0,0,1,1,6,0,2,2,1,1,0,0,0,0,0,1,2,1,0,0,0,17,16,14
0cbc5fa385412dd7438f794a49c4ae584be54582,1,15,15,15,15,15,0,0,2,2,2,1,1,7,0,0,0,3,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0
bf5ca2f5e6714c8e0536504de9d54c8d6afc1425,0,6,6,6,6,6,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0
90c9904fcdeaf5a970cdd837a79144c9d18fd4e9,1,8,8,8,8,8,0,0,0,0,0,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38a6183b5c273c6b5ffe52fda40edf99ee7a57ba,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
c3d738c6aed3bad135ae4aecfdab94c9fb5d7f42,1,11,11,11,11,11,0,0,0,0,0,4,4,1,0,0,0,3,0,1,0,0,1,2,0,0,3,0,0,0,0,0,0
9db1834941ee24cb7c23fc8254f023aa51433a96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0
268f5cb65244fd0de540c676bfc135b661f5bb1a,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
288573dceaf6a82f3d671186e766688d53407028,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
ac0c66e986e14db6a746dfe1b84f36a662dacfbb,1,17,17,17,17,17,0,0,0,0,0,1,1,4,0,0,0,4,3,1,0,0,1,3,0,0,1,0,0,0,6,6,5
76ea14ed31b27204907010100705eeaa2922e00e,0,3,3,3,3,3,0,0,1,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,9,4,4
3b2e103b7e36af9acd91fe3f6f057fb2163f7ef7,0,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,1,0,1,0,0,0,4,0,0,1,0,0,0,10,10,8
b5a2bb8ddbc7badcdd459b443077d429c5e8235d,1,7,7,7,7,7,1,1,0,0,0,2,2,3,0,0,0,2,2,0,0,0,0,3,0,0,2,0,0,0,4,4,4
a00ffffc54a8063c1728d2f3ba24db04504864da,0,6,6,6,6,6,0,0,0,0,0,2,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
af6aba67bbb26d4116532d45f3ea0117aa3cb6a8,0,6,6,6,6,6,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
e10f6922eb972c581102b75d7fa50eabe0487fa2,1,17,17,17,17,17,0,0,0,0,0,5,5,1,0,0,0,4,4,0,0,0,1,1,0,0,4,0,0,0,3,2,2
3469c1fa3a7784117b57e678ff674f067831284a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
18e58ffb3759819155261f7e3e68491f330ecd02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
a8b8b4155b6655ef407e2f0d623722047235fc6b,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
14738859ccdffa64ba5d66a5cdf3757723826736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
e02969e17385dd5d53b0572a3eadac2cbfd24adb,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
aba473e84a5a24d12b29a2bf9e858019c023f6fd,1,16,16,16,16,16,1,1,2,2,2,1,1,1,0,10,10,13,1,12,9,2,0,28,0,9,5,2,2,1,34,27,9
6b9a59753a924c6e07a68a0de61f0fb2792df102,0,3,3,3,3,3,0,0,0,0,0,1,1,0,0,0,0,3,0,3,0,0,0,1,0,0,1,0,0,0,3,0,0
f33a250c0e7624b6cbc0a11ffce12506eaa95d9a,1,18,18,18,17,17,0,0,0,0,0,2,2,6,0,0,0,2,0,2,0,0,0,10,0,0,2,0,0,0,11,10,2
d0f7a51537469740e5397486b1e2c19862c26c01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1e6e73f30e32e7e54519db4cb5ed034b984fd570,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
e3a50d9464479d59b5899eef6c7e0c80a2785bce,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0
c7b350b678b82bae1c0834744249cb534fed18f1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
b96c77a8f9dfd021aa4a0b2f825dc2e270f79050,1,4,4,4,3,3,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
eef7b7308e33a9da3639611d2e4d47e52f25671c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
d4ba96481c76487bc1fdd7fbde8392bc97c3226d,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
b653ee0a5967a8255f087f43a1cb6a878e765833,1,6,6,6,6,6,1,1,0,0,0,1,1,0,0,3,3,1,1,0,3,1,0,5,0,3,1,1,1,1,5,0,0
6b7a7a706d6e4d8c4a5e0300666e56f6704eb00a,1,27,27,27,27,27,0,0,0,0,0,2,2,8,0,5,5,18,2,16,7,0,0,7,0,5,18,0,0,0,18,13,10
4fa9ac5505d6604f1d74def8fc1ea6eeb3ea3fda,0,14,14,14,14,14,0,0,0,0,0,1,1,2,0,3,3,7,2,5,2,0,0,0,0,3,7,0,0,0,5,4,0
3f2743b58ba65c4bdc7d37df5348d17124bf305a,0,69,69,69,69,69,2,2,0,0,0,8,8,7,0,3,3,2,1,1,2,0,0,3,0,2,2,0,0,0,0,0,0
786d4b63349d2c0f18d8a06a29fe1cc5598cf8fc,0,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
65ca08455f05b7c7e9352723f2bea21e86bc43e8,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,3,3,1,1,0,5,0,0,4,0,1,0,0,0,0,7,7,3
c9936ad349e3e703dcbf6f2a1644f8a3e45a23d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7be21c9148fa0a1cb088d13407974b60dac68b36,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
